"location","context","source","target"
"SAJ1","I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","Space Alpaca Jerky","Charqui d'Alpaga"
"SAJ2","I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","Don’t read the warning label. It’ll taste better.","Mieux vaut ne pas lire le dos du paquet. Le goût n'en sera que meilleur."
"DDS1","I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","Deia Deia Soda","Soda Deia Deia"
"DDS2","I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","Andromeda soda brands always taste WAYYY better compared to Milkyway brands.","Les sodas d'Andromède sont BIEEEN meilleurs que ceux de la Voie lactée !"
"AP1","I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","Arinator Paste (Mint Choco Flavor)","Dentifrice Arinator"
"AP2","I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","The mint choco lovers never should have evolved with us…","Les adeptes du chocolat à la menthe n'auraient jamais dû évoluer avec nous…"
"MGN1","Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","M’Ghooni Nachos","Nachos M'Ghooni"
"MGN2","Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","Perfect for the night time munchies no matter which planet you’re on!","Peu importe la planète sur laquelle vous êtes, c'est le casse-croûte parfait pour vos soirées !"
"SD1","Weird hot dogs!!!! They’re a weird color!!!","Saturn Dogs","Hot-Dogs de Saturne"
"SD2","Weird hot dogs!!!! They’re a weird color!!!","One of the most iconic ways to eat a hot dog in the solar system. Soon, iconic nowhere!","Un des hot-dogs les plus tendance du Système solaire. Une tendance qui va disparaître d'ici peu !"
"ZC1","Silly numbers!","Zolkan Coffee","Café Zolkien"
"ZC2","Silly numbers!","Made with 500% Zolkan coffee beans! How'd they figure out the 400%?","Conçu avec des grains de café 500 % zolkien ! Comment ont-ils fait pour dépasser les 400 % ?"
"MM1","Main Menu","Start","Nouvelle partie"
"MM2","Main Menu","Options","Options"
"MM3","Main Menu","Exit","Quitter"
"OPT1","Options Menu","Sound Options","Audio"
"OPT2","Options Menu","Background Music Volume","Volume du fond sonore"
"OPT3","Options Menu","Character Speech Volume","Volume des voix"
"OPT4","Options Menu","Sound Effects Volume","Volume des effets sonores"
"OPT5","Options Menu","Cancel","Annuler"
"OPT6","Options Menu","Save","Sauveg."
"NUM","This is the values for the slider bar, for localizing numbers. We need all the numbers between 0 and 100","0.000000000","0.000000000"
"PM1","Pause Menu","Game Paused","Pause"
"PM2","Pause Menu","Save","Sauveg."
"PM3","Pause Menu","Load","Charger une partie"
"PM4","Pause Menu","Options","Options"
"PM5","Pause Menu","Quit","Quitter"
"NAV1","phone and narrative navigation","now","À l'instant"
"NAV2","phone and narrative navigation","back","Retour"
"NAV3","phone and narrative navigation","next","Suiv."
"CS1","Credit Screen","Credits","Crédits"
"CS2","Credit Screen","writer","Scénariste"
"CS3","Credit Screen","Character Designer/Artist","Illustration personnages"
"CS4","Credit Screen","Background and Item Artist","Illustration arrière-plan/articles"
"CS5","Credit Screen","Composer/Sound Designer","Composition/Conception sonore"
"CS6","Credit Screen","Additional Voice-Over","Voix hors champ additionnelle"
"CS7","Credit Screen","UX/UI Designer","Conception UX/UI"
"CS8","Credit Screen","Programmer","Programmation"
"S1","In the shop","Turn Around","Se retourner"
"S2","In the shop","Alpaca Jerky","Charqui d'Alpaga"
"S3","In the shop","Deia Deia","Deia Deia"
"S4","In the shop","Arinator","Arinator"
"S5","In the shop","Food","Aliments"
"IGD1","Itch Game Description","Supernova is a hybrid between a point-and-click and a visual novel with inspiration from games like Coffee Talk.  ","Supernova, c'est un mariage entre le pointer-cliquer et le roman vidéoludique inspiré des jeux comme Coffee Talk."
"IGD2","Itch Game Description","You are playing as Dmi, a gas station employee on Mars’ moon. ","Vous y incarnez Dmi, personnel d'une station essence située sur la lune de Mars."
"IGD3","Itch Game Description","The solar system is reaching its end, and a supernova will wipe out everything in three days.","La vie du Système solaire touche à son terme. Dans trois jours, une supernova le rayera complètement de la carte."
"IGD4","Itch Game Description","You’re clocking in. ","Vous pointez à votre poste."
"IGD5","Itch Game Description","Most people have relocated already, but a few people are still around.","Bien que la majorité de la population ait déjà plié bagage, quelques personnes traînent encore dans les parages."
"IGD6","Itch Game Description","Who will you meet in those last three days?","Qui passera donc les portes du magasin au cours de ces trois derniers jours ?"
"IGD7","Itch Game Description","Notes from the creators:","Petit mot de l'équipe de développement :"
"IGD8","Itch Game Description","A significant amount of work went into making this game accessible, thanks to our UX designer Susan.","Une large partie de notre temps de travail a été consacrée à l'accessibilité du jeu, et ce grâce à Susan, responsable de la conception d'expérience utilisateur."
"IGD9","Itch Game Description","Features:","Caractéristiques du jeu :"
"IGD10","Itch Game Description","Roughly 7,000 words of dialogue and narration","Près de 7 000 mots rien que pour les dialogues et la narration."
"IGD11","Itch Game Description","Two Endings!","Deux fins possibles !"
"IGD12","Itch Game Description","You can pet the cat(?)!","Vous pouvez même caresser le chat (?) !"
"IGD13","Itch Game Description","One playthrough should be around 25 minutes","Une partie complète dure environ 25 minutes."
"IGD14","Itch Game Description","A Special thanks to Trey and Brandon for keeping Britney sane while organizing dialogue!","Nous remercions tout particulièrement Trey et Brandon d'avoir aidé Britney à garder la tête froide lors de l'organisation des dialogues !"
"IGD15","Itch Game Description","Contributors:","Équipe de développement :"
"IGD16","Itch Game Description","Attribution:","Crédit additionnel :"
"IGD17","Not sure if some of the non-latin alphabets need to translate this","Twitter","X (anciennement Twitter)"
"IGD18","Not sure if some of the non-latin alphabets need to translate this","Instagram","Instagram"
"IGD19","Not sure if some of the non-latin alphabets need to translate this","Linktree","Linktree"
"IGD20","Itch Game Description","Portfolio","Portfolio"
"INSTALL1","Installation details","Mac users - you may have to use the itch app to play this game","Si vous utilisez un Mac, vous devrez peut-être utiliser l'application itch pour lancer le jeu."
"NAV4"," On the phone missing string","How do you want to respond?","Choisissez une réponse :"
"S6","Front of shop shelves","Go Back","Retour"
"PM6","Pause menu","Resume","Retour"
"OPT7","Options Menu","Language Options","Langue"
