"location","context","source","target"
"SAJ1","I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","Space Alpaca Jerky","Charque de Espacialpaca"
"SAJ2","I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","Don’t read the warning label. It’ll taste better.","Não leia o aviso no rótulo pra não estragar o sabor."
"DDS1","I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","Deia Deia Soda","Refri Deia Deia"
"DDS2","I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","Andromeda soda brands always taste WAYYY better compared to Milkyway brands.","Os refrigerantes de Andrômeda têm um gosto MUUUUITO melhor que os da Via Láctea."
"AP1","I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","Arinator Paste (Mint Choco Flavor)","Pasta Arinator (Sabor Chocomenta)"
"AP2","I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","The mint choco lovers never should have evolved with us…","Amantes de chocomenta nunca deviam ter evoluído com a gente…"
"MGN1","Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","M’Ghooni Nachos","Nachos M'Ghooni"
"MGN2","Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","Perfect for the night time munchies no matter which planet you’re on!","Perfeito pro lanchinho da madrugada, não importa em qual planeta você esteja!"
"SD1","Weird hot dogs!!!! They’re a weird color!!!","Saturn Dogs","Dogões de Saturno"
"SD2","Weird hot dogs!!!! They’re a weird color!!!","One of the most iconic ways to eat a hot dog in the solar system. Soon, iconic nowhere!","Um dos cachorros-quentes mais icônicos do sistema solar. Em breve, icônico em mais nenhum lugar!"
"ZC1","Silly numbers!","Zolkan Coffee","Café Zolkano"
"ZC2","Silly numbers!","Made with 500% Zolkan coffee beans! How'd they figure out the 400%?","Feito com 500% de grãos de café Zolkano! De onde sairam os 400%?"
"MM1","Main Menu","Start","Começar"
"MM2","Main Menu","Options","Opções"
"MM3","Main Menu","Exit","Sair"
"OPT1","Options Menu","Sound Options","Opções de Som"
"OPT2","Options Menu","Background Music Volume","Volume da Música de Fundo"
"OPT3","Options Menu","Character Speech Volume","Volume de Voz de Personagens"
"OPT4","Options Menu","Sound Effects Volume","Volume de Efeitos Sonoros"
"OPT5","Options Menu","Cancel","Cancelar"
"OPT6","Options Menu","Save","Salvar"
"NUM","This is the values for the slider bar, for localizing numbers. We need all the numbers between 0 and 100","0.000000000",""
"PM1","Pause Menu","Game Paused","Jogo Pausado"
"PM2","Pause Menu","Save","Salvar"
"PM3","Pause Menu","Load","Carregar"
"PM4","Pause Menu","Options","Opções"
"PM5","Pause Menu","Quit","Sair"
"NAV1","phone and narrative navigation","now","agora"
"NAV2","phone and narrative navigation","back","Voltar"
"NAV3","phone and narrative navigation","next","Seguinte"
"CS1","Credit Screen","Credits","Créditos"
"CS2","Credit Screen","writer","Roteiro"
"CS3","Credit Screen","Character Designer/Artist","Design de Personagem/Arte"
"CS4","Credit Screen","Background and Item Artist","Arte de Itens e Cenário"
"CS5","Credit Screen","Composer/Sound Designer","Música/Design de Som"
"CS6","Credit Screen","Additional Voice-Over","Vozes Adicionais"
"CS7","Credit Screen","UX/UI Designer","Design de UX/Interface"
"CS8","Credit Screen","Programmer","Programação"
"S1","In the shop","Turn Around","Virar-se"
"S2","In the shop","Alpaca Jerky","Charque de Alpaca"
"S3","In the shop","Deia Deia","Deia Deia"
"S4","In the shop","Arinator","Arinator"
"S5","In the shop","Food","Comida"
"IGD1","Itch Game Description","Supernova is a hybrid between a point-and-click and a visual novel with inspiration from games like Coffee Talk.  ","Supernova é uma mistura de apontar e clicar com visual novel, inspirada em jogos como Coffee Talk.  "
"IGD2","Itch Game Description","You are playing as Dmi, a gas station employee on Mars’ moon. ","Você joga como Dmi, funcionárie de um posto de combustível na lua de Marte. "
"IGD3","Itch Game Description","The solar system is reaching its end, and a supernova will wipe out everything in three days.","O sistema solar está chegando ao seu fim, e uma supernova irá dizimar tudo em três dias."
"IGD4","Itch Game Description","You’re clocking in. ","Você está batendo o ponto. "
"IGD5","Itch Game Description","Most people have relocated already, but a few people are still around.","A maioria das pessoas já se mudou, mas algumas continuam por aí."
"IGD6","Itch Game Description","Who will you meet in those last three days?","Quem você encontrará nesses últimos três dias?"
"IGD7","Itch Game Description","Notes from the creators:","Notas da equipe de desenvolvimento:"
"IGD8","Itch Game Description","A significant amount of work went into making this game accessible, thanks to our UX designer Susan.","Tornar este jogo acessível só foi possível graças ao grande empenho de Susan, responsável pelo design de UX."
"IGD9","Itch Game Description","Features:","Conteúdos:"
"IGD10","Itch Game Description","Roughly 7,000 words of dialogue and narration","Cerca de 7 mil palavras de diálogo e narração"
"IGD11","Itch Game Description","Two Endings!","Dois finais!"
"IGD12","Itch Game Description","You can pet the cat(?)!","Você pode fazer carinho em um gato(?)!"
"IGD13","Itch Game Description","One playthrough should be around 25 minutes","Uma sessão deve durar em torno de 25 minutos"
"IGD14","Itch Game Description","A Special thanks to Trey and Brandon for keeping Britney sane while organizing dialogue!","Agradecimentos especiais a Trey e Brandon por manterem a sanidade de Britney durante a organização do diálogo!"
"IGD15","Itch Game Description","Contributors:","Equipe:"
"IGD16","Itch Game Description","Attribution:","Atribuição:"
"IGD17","Not sure if some of the non-latin alphabets need to translate this","Twitter","Twitter"
"IGD18","Not sure if some of the non-latin alphabets need to translate this","Instagram","Instagram"
"IGD19","Not sure if some of the non-latin alphabets need to translate this","Linktree","Linktree"
"IGD20","Itch Game Description","Portfolio","Portfólio"
"INSTALL1","Installation details","Mac users - you may have to use the itch app to play this game","Usuários de Mac: talvez precisem usar o aplicativo itch para jogar este jogo"
"NAV4"," On the phone missing string","How do you want to respond?","Como gostaria de responder?"
"S6","Front of shop shelves","Go Back","Voltar"
"PM6","Pause menu","Resume","Continuar"
"OPT7","Options Menu","Language Options","Opções de Idioma"
