"location","context","source","target"
"O1","No Sc, msc: SupernovaAlt, no sfx, Next: [O2]","The Solar System. We all know it well. Home to an indescribable number of lifeforms across each planet.","Το Ηλιακό Σύστημα. Όλοι το ξέρουμε και το αγαπάμε. Εδώ ζουν αμέτρητες μορφές ζωής σε κάθε πλανήτη."
"O2","No Sc, msc: SupernovaAlt, no sfx, Next: [O3]","That doesn’t matter much anymore. The Solar System is reaching its end and our Sun is reaching the end of its days. From Mercury to Uranus (Justice for Pluto) people are evacuating to escape the incoming supernova.","Βέβαια δεν έχει και τόση σημασία πια, καθώς το Ηλιακό μας Σύστημα και ο Ήλιος φτάνουν στο τέλος τους. Από τον Ερμή ως τον Ουρανό (δικαιοσύνη για τον Πλούτωνα), οι άνθρωποι εγκαταλείπουν τα πάντα για να σωθούν από την επικείμενη σουπερνόβα."
"O3","No Sc, msc: SupernovaAlt, no sfx, Next: [O4]","and I’m clocking in.","...και εγώ ετοιμάζομαι για δουλειά."
"O4","No Sc, msc: SupernovaAlt, no sfx, Next: [O5a]","It's a slow day. Not that it wasn’t expected or anything. A lot of people have evacuated already, or they just want to spend their money elsewhere besides our dingy gas station. ","Η μέρα κυλάει αργά. Όχι πως δεν το περίμενα. Πολλοί έχουν ήδη εγκαταλείψει τον πλανήτη, άλλοι πάλι προτιμούν να ξοδέψουν τα λεφτά τους αλλού, παρά στο μίζερο βενζινάδικό μας. "
"O5a","No Sc, msc: SupernovaAlt, sfx: Text_1, Next: [O5b]","-phone chimes-","-κουδουνίζει το τηλέφωνο-"
"O5b","No Sc, msc: SupernovaAlt, sfx: , Next: [T1]","Crap.","Σκατά."
"T1","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","Hey, did you finish packing?","Τι λέει; Ετοίμασες τα πράγματά σου;"
"T1-Option-1","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","Yeah. (Lie)","Ναι. (Ψέματα)"
"T1-Option-2","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","No, I’m at work right now.","Όχι, είμαι στη δουλειά τώρα."
"TDN1-1","Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [TDN1-2]","Yeah. Just handling some things right now.","Ναι. Τώρα κάνω κάτι τελευταίες δουλίτσες."
"TDN1-2","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [TDN1-3]","Are you home? I can swing by your place to help.","Είσαι σπίτι; Μπορώ να περάσω από εκεί να σε βοηθήσω."
"TDN1-3","Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [ROD1-1]","No, its fine. I’m at work. The grind doesn’t stop.","Όχι, δεν χρειάζεται. Δεν έχω σχολάσει ακόμη. Η δουλειά δεν σταματάει ποτέ."
