"location","context","source","target"
"SAJ1","I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","Space Alpaca Jerky","Αποξηραμένο διαστημικό αλπάκα"
"SAJ2","I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","Don’t read the warning label. It’ll taste better.","Μη διαβάσεις την ετικέτα. Θα είναι καλύτερη η γεύση έτσι."
"DDS1","I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","Deia Deia Soda","Σόδα Ντέια Ντέια"
"DDS2","I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","Andromeda soda brands always taste WAYYY better compared to Milkyway brands.","Τα αναψυκτικά της Ανδρομέδας πάντα είναι ΕΤΗ ΦΩΤΟΣ καλύτερα από αυτά του Γαλαξία."
"AP1","I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","Arinator Paste (Mint Choco Flavor)","Οδοντόκρεμα Arinator (Με γεύση μέντα-σοκολάτα)"
"AP2","I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","The mint choco lovers never should have evolved with us…","Η θεωρία της εξέλιξης δεν εξηγεί πώς γίνεται να υπάρχουν άτομα που προτιμούν αυτή τη γεύση…"
"MGN1","Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","M’Ghooni Nachos","Νάτσος Μ'Γκούνι"
"MGN2","Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","Perfect for the night time munchies no matter which planet you’re on!","Ό,τι πρέπει για τις βραδινές λιγούρες, σε όποιον πλανήτη κι αν βρίσκεστε!"
"SD1","Weird hot dogs!!!! They’re a weird color!!!","Saturn Dogs","Saturn Dogs"
"SD2","Weird hot dogs!!!! They’re a weird color!!!","One of the most iconic ways to eat a hot dog in the solar system. Soon, iconic nowhere!","Ο πιο τέλειος τρόπος να φάτε hot dog στο ηλιακό σύστημα. Σύντομα, τέλειος πουθενά!"
"ZC1","Silly numbers!","Zolkan Coffee","Zolkan Coffee"
"ZC2","Silly numbers!","Made with 500% Zolkan coffee beans! How'd they figure out the 400%?","Από 500% Ζολκανικούς κόκκους καφέ! Πώς υπολογίζουν το υπόλοιπο 400%;"
"MM1","Main Menu","Start","Έναρξη"
"MM2","Main Menu","Options","Επιλογές"
"MM3","Main Menu","Exit","Έξοδος"
"OPT1","Options Menu","Sound Options","Επιλογές ήχου"
"OPT2","Options Menu","Background Music Volume","Ένταση μουσικής φόντου"
"OPT3","Options Menu","Character Speech Volume","Ένταση διαλόγου"
"OPT4","Options Menu","Sound Effects Volume","Ένταση εφέ"
"OPT5","Options Menu","Cancel","Ακύρωση"
"OPT6","Options Menu","Save","Αποθήκευση"
"NUM","This is the values for the slider bar, for localizing numbers. We need all the numbers between 0 and 100","0.000000000","0.000000000"
"PM1","Pause Menu","Game Paused","Σε παύση"
"PM2","Pause Menu","Save","Αποθήκευση"
"PM3","Pause Menu","Load","Μεταμορφώσεις"
"PM4","Pause Menu","Options","Επιλογές"
"PM5","Pause Menu","Quit","Έξοδος"
"NAV1","phone and narrative navigation","now","τώρα"
"NAV2","phone and narrative navigation","back","πίσω"
"NAV3","phone and narrative navigation","next","επόμενο"
"CS1","Credit Screen","Credits","Συντελεστές"
"CS2","Credit Screen","writer","Σενάριο"
"CS3","Credit Screen","Character Designer/Artist","Σχεδιασμός χαρακτήρων"
"CS4","Credit Screen","Background and Item Artist","Σχεδιασμός φόντων και και αντικειμένων"
"CS5","Credit Screen","Composer/Sound Designer","Σύνθεση ήχου"
"CS6","Credit Screen","Additional Voice-Over","Επιπλέον σποκάζ"
"CS7","Credit Screen","UX/UI Designer","UX/UI Design"
"CS8","Credit Screen","Programmer","Προγραμματισμός"
"S1","In the shop","Turn Around","ι"
"S2","In the shop","Alpaca Jerky","Αποξηραμένο αλπάκα"
"S3","In the shop","Deia Deia","Ντέια Ντέια"
"S4","In the shop","Arinator","Arinator"
"S5","In the shop","Food","Φαγητό"
"IGD1","Itch Game Description","Supernova is a hybrid between a point-and-click and a visual novel with inspiration from games like Coffee Talk.  ","Το Supernova είναι μια μείξη μεταξύ point-and-click και visual novel, εμπνευσμένο από παιχνίδια όπως το Coffee Talk.   "
"IGD2","Itch Game Description","You are playing as Dmi, a gas station employee on Mars’ moon. ","Παίζετε ως το Ντμι, δουλεύοντας σε ένα βενζινάδικο κάπου στο φεγγάρι του Άρη. "
"IGD3","Itch Game Description","The solar system is reaching its end, and a supernova will wipe out everything in three days.","Το τέλος του ηλιακού μας συστήματος πλησιάζει κι ένας σουπερνόβα θα αφανίσει τα πάντα σε τρεις μέρες."
"IGD4","Itch Game Description","You’re clocking in. ","Ξεκινάτε τη βάρδιά σας. "
"IGD5","Itch Game Description","Most people have relocated already, but a few people are still around.","Ο περισσότερος κόσμος έχει ήδει μετακομίσει αλλού, αλλά κάποιοι είναι ακόμα εδώ."
"IGD6","Itch Game Description","Who will you meet in those last three days?","Ποιους θα γνωρίσετε αυτές τις τελευταίες τρεις μέρες;"
"IGD7","Itch Game Description","Notes from the creators:","Σημείωση από τους δημιουργούς:"
"IGD8","Itch Game Description","A significant amount of work went into making this game accessible, thanks to our UX designer Susan.","Ευχαριστούμε τη UX designer μας, Susan, για την σημαντική προσπάθεια που κατέβαλε στο να κάνει το παιχνίδι αυτό προσβάσιμο.."
"IGD9","Itch Game Description","Features:","Χαρακτηριστικά:"
"IGD10","Itch Game Description","Roughly 7,000 words of dialogue and narration","Περίπου 7.000 λέξεις διαλόγου και αφήγησης"
"IGD11","Itch Game Description","Two Endings!","Δύο τέλη!"
"IGD12","Itch Game Description","You can pet the cat(?)!","Μπορείτε να χαϊδέψετε τη γάτα(;)!"
"IGD13","Itch Game Description","One playthrough should be around 25 minutes","Περίπου 25 λεπτά παιχνιδιού από την αρχή ως ένα τέλος"
"IGD14","Itch Game Description","A Special thanks to Trey and Brandon for keeping Britney sane while organizing dialogue!","Ένα μεγάλο ευχαριστώ στους Τρέι και Μπράντον που βοήθησαν την Μπρίτνεϊ να κρατήσει τη λογική της όσο οργάνωνε τον διάλογο!"
"IGD15","Itch Game Description","Contributors:","Συντελεστές:"
"IGD16","Itch Game Description","Attribution:","Απόδοση:"
"IGD17","Not sure if some of the non-latin alphabets need to translate this","Twitter","Twitter"
"IGD18","Not sure if some of the non-latin alphabets need to translate this","Instagram","Instagram"
"IGD19","Not sure if some of the non-latin alphabets need to translate this","Linktree","Linktree"
"IGD20","Itch Game Description","Portfolio","Portfolio"
"INSTALL1","Installation details","Mac users - you may have to use the itch app to play this game","Για Mac - ίσως χρειαστείτε την εφαρμογή itch για να τρέξετε το παιχνίδι. "
"NAV4"," On the phone missing string","How do you want to respond?","Πώς θέλετε να απαντήσετε;"
"S6","Front of shop shelves","Go Back","Πίσω"
"PM6","Pause menu","Resume","Περίληψη"
"OPT7","Options Menu","Language","Γλώσσα"
