"location","context","source","target"
"SAJ1","I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","Space Alpaca Jerky","Jerky z vesmírné alpaky"
"SAJ2","I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","Don’t read the warning label. It’ll taste better.","Nečti si varovný štítek. Chutná pak líp."
"DDS1","I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","Deia Deia Soda","Limonáda Deia Deia"
"DDS2","I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","Andromeda soda brands always taste WAYYY better compared to Milkyway brands.","Limonády z Andromedy jsou MNOHEM lepší než ty z Mléčné dráhy."
"AP1","I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","Arinator Paste (Mint Choco Flavor)","Pasta od Arinator (příchuť mátová čokoláda)"
"AP2","I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","The mint choco lovers never should have evolved with us…","Existenci milovníků mátové čokolády měla evoluce dávno zarazit…"
"MGN1","Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","M’Ghooni Nachos","Migůnyho nachosky"
"MGN2","Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","Perfect for the night time munchies no matter which planet you’re on!","Ideální pro večerní mlsání kdekoli ve vesmíru!"
"SD1","Weird hot dogs!!!! They’re a weird color!!!","Saturn Dogs","Saturnovské párky"
"SD2","Weird hot dogs!!!! They’re a weird color!!!","One of the most iconic ways to eat a hot dog in the solar system. Soon, iconic nowhere!","Jedny z nejikoničtějších párků ve Sluneční soustavě. Brzo nebudou ikonické nikde!"
"ZC1","Silly numbers!","Zolkan Coffee","Zolkánská káva"
"ZC2","Silly numbers!","Made with 500% Zolkan coffee beans! How'd they figure out the 400%?","Složení: 500 % zolkánských kávových zrn. Ale co těch zbylých 400 %?"
"MM1","Main Menu","Start","Hrát"
"MM2","Main Menu","Options","Nastavení"
"MM3","Main Menu","Exit","Odejít"
"OPT1","Options Menu","Sound Options","Nastavení zvuku"
"OPT2","Options Menu","Background Music Volume","Hlasitost hudby"
"OPT3","Options Menu","Character Speech Volume","Hlasitost řeči"
"OPT4","Options Menu","Sound Effects Volume","Hlasitost zvukových efektů"
"OPT5","Options Menu","Cancel","Storno"
"OPT6","Options Menu","Save","Uložit"
"NUM","This is the values for the slider bar, for localizing numbers. We need all the numbers between 0 and 100","0.000000000","0.000000000"
"PM1","Pause Menu","Game Paused","Pauza"
"PM2","Pause Menu","Save","Uložit"
"PM3","Pause Menu","Load","Načíst"
"PM4","Pause Menu","Options","Nastavení"
"PM5","Pause Menu","Quit","Odejít"
"NAV1","phone and narrative navigation","now","teď"
"NAV2","phone and narrative navigation","back","zpět"
"NAV3","phone and narrative navigation","next","dále"
"CS1","Credit Screen","Credits","Autoři"
"CS2","Credit Screen","writer","Příběh"
"CS3","Credit Screen","Character Designer/Artist","Návrh postav/grafika"
"CS4","Credit Screen","Background and Item Artist","Grafika pozadí a předmětů"
"CS5","Credit Screen","Composer/Sound Designer","Hudba/zvuk"
"CS6","Credit Screen","Additional Voice-Over","Dabing"
"CS7","Credit Screen","UX/UI Designer","Návrh rozhraní"
"CS8","Credit Screen","Programmer","Programování"
"S1","In the shop","Turn Around","Otočit se"
"S2","In the shop","Alpaca Jerky","Jerky z alpaky"
"S3","In the shop","Deia Deia","Deia Deia"
"S4","In the shop","Arinator","Arinator"
"S5","In the shop","Food","Jídlo"
"IGD1","Itch Game Description","Supernova is a hybrid between a point-and-click and a visual novel with inspiration from games like Coffee Talk.  ","Supernova je kombinací point-and-click adventury a interaktivní novely, která si bere inspiraci z her jako Coffee Talk.  "
"IGD2","Itch Game Description","You are playing as Dmi, a gas station employee on Mars’ moon. ","Hlavní postavou je Dmi, obsluha čerpací stanice na jednom z měsíců Marsu. "
"IGD3","Itch Game Description","The solar system is reaching its end, and a supernova will wipe out everything in three days.","Dny Sluneční soustavy jsou sečteny. Za tři dny všechno smete supernova."
"IGD4","Itch Game Description","You’re clocking in. ","A ty jdeš do práce. "
"IGD5","Itch Game Description","Most people have relocated already, but a few people are still around.","Většina lidí už se přestěhovala, ale někdo přeci jen zůstal."
"IGD6","Itch Game Description","Who will you meet in those last three days?","Koho za ty poslední tři dny potkáš?"
"IGD7","Itch Game Description","Notes from the creators:","Poznámka autorů:"
"IGD8","Itch Game Description","A significant amount of work went into making this game accessible, thanks to our UX designer Susan.","Hodně úsilí jsme věnovali přístupnosti hry – děkujeme naší UX designérce Susan."
"IGD9","Itch Game Description","Features:","Na co se můžeš těšit:"
"IGD10","Itch Game Description","Roughly 7,000 words of dialogue and narration","Zhruba 7 000 slov dialogu a vyprávění"
"IGD11","Itch Game Description","Two Endings!","Dva konce!"
"IGD12","Itch Game Description","You can pet the cat(?)!","Můžeš si pohladit kočičku(?)!"
"IGD13","Itch Game Description","One playthrough should be around 25 minutes","Jeden průchod hrou zabere asi 25 minut"
"IGD14","Itch Game Description","A Special thanks to Trey and Brandon for keeping Britney sane while organizing dialogue!","Zvláštní poděkování si zaslouží Trey a Brandon za to, že drželi Britney při smyslech, když psala dialogy!"
"IGD15","Itch Game Description","Contributors:","Na hře se podíleli:"
"IGD16","Itch Game Description","Attribution:","Přispění:"
"IGD17","Not sure if some of the non-latin alphabets need to translate this","Twitter","Twitter"
"IGD18","Not sure if some of the non-latin alphabets need to translate this","Instagram","Instagram"
"IGD19","Not sure if some of the non-latin alphabets need to translate this","Linktree","Linktree"
"IGD20","Itch Game Description","Portfolio","Portfolio"
"INSTALL1","Installation details","Mac users - you may have to use the itch app to play this game","Uživatelé Macu – abyste si hru zahráli, budete možná potřebovat aplikaci Itch"
"NAV4"," On the phone missing string","How do you want to respond?","Jak chceš reagovat?"
"S6","Front of shop shelves","Go Back","Vrátit se"
"PM6","Pause menu","Resume","Pokračovat"
"OPT7","Options Menu","Language Options","Jazyk"
