"location","context","source","target"
"O1","No Sc, msc: SupernovaAlt, no sfx, Next: [O2]","The Solar System. We all know it well. Home to an indescribable number of lifeforms across each planet.","Ah, notre bon vieux Système solaire. Le foyer d'un nombre incalculable de formes de vies éparpillées sur chaque planète."
"O2","No Sc, msc: SupernovaAlt, no sfx, Next: [O3]","That doesn’t matter much anymore. The Solar System is reaching its end and our Sun is reaching the end of its days. From Mercury to Uranus (Justice for Pluto) people are evacuating to escape the incoming supernova.","Bientôt, tout ça n'aura plus d'importance. La fin est proche pour notre Système solaire, et notre Soleil est au crépuscule de sa vie. De Mercure jusqu'à Uranus (justice pour Pluton !), les gens évacuent pour échapper à la supernova imminente."
"O3","No Sc, msc: SupernovaAlt, no sfx, Next: [O4]","and I’m clocking in.","Et moi, je pointe à mon poste."
"O4","No Sc, msc: SupernovaAlt, no sfx, Next: [O5a]","It's a slow day. Not that it wasn’t expected or anything. A lot of people have evacuated already, or they just want to spend their money elsewhere besides our dingy gas station. ","C'est calme, aujourd'hui. Il faut dire que je m'y attendais : beaucoup de gens ont déjà évacué, ou préfèrent juste dépenser leur argent ailleurs que dans notre station-service minable. "
"O5a","No Sc, msc: SupernovaAlt, sfx: Text_1, Next: [O5b]","-phone chimes-","- son de notification -"
"O5b","No Sc, msc: SupernovaAlt, sfx: , Next: [T1]","Crap.","Et merde."
"T1","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","Hey, did you finish packing?","Salut ! T'as fini de faire tes valises ?"
"T1-Option-1","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","Yeah. (Lie)","Ouais. (Mentir)"
"T1-Option-2","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","No, I’m at work right now.","Non, je suis au travail, là."
"TDN1-1","Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [TDN1-2]","Yeah. Just handling some things right now.","Ouais. Je termine juste les préparatifs."
"TDN1-2","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [TDN1-3]","Are you home? I can swing by your place to help.","T'es chez toi ? Je peux passer pour t'aider."
"TDN1-3","Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [ROD1-1]","No, its fine. I’m at work. The grind doesn’t stop.","Non, t'inquiète. Je suis au travail. Pas de repos pour les braves."
"TDP1-1","Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [TDP1-2]","I’m on the grind right now. I’ll see about that later.","Je suis au travail, là. Je verrai plus tard."
"TDP1-2","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [TDP1-3]","Dmi the SUN is gonna explode!?!?!?!","Mais Dmi le SOLEIL va exploser !?!?!?!"
"TDP1-3","Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [ROD1-1]","Yeah, and my account is gonna overdraft.","Ouais, et je suis presque à découvert sur mon compte."
"ROD1-1","Sc: Rob, msc: SupernovaAlt, sfx: Rob_Short, Next: [D1D-1]","Dmi!","Dmi !"
