"context","location","source","target"
"No Sc, msc: SupernovaAlt, no sfx, Next: [O2]","O1","The Solar System. We all know it well. Home to an indescribable number of lifeforms across each planet.","Ah, notre bon vieux Système solaire. Le foyer d'un nombre incalculable de formes de vies éparpillées sur chaque planète."
"No Sc, msc: SupernovaAlt, no sfx, Next: [O3]","O2","That doesn’t matter much anymore. The Solar System is reaching its end and our Sun is reaching the end of its days. From Mercury to Uranus (Justice for Pluto) people are evacuating to escape the incoming supernova.","Bientôt, tout ça n'aura plus d'importance. La fin est proche pour notre Système solaire, et notre Soleil est au crépuscule de sa vie. De Mercure jusqu'à Uranus (justice pour Pluton !), les gens évacuent pour échapper à la supernova imminente."
"No Sc, msc: SupernovaAlt, no sfx, Next: [O4]","O3","and I’m clocking in.","Et moi, je pointe à mon poste."
"No Sc, msc: SupernovaAlt, no sfx, Next: [O5a]","O4","It's a slow day. Not that it wasn’t expected or anything. A lot of people have evacuated already, or they just want to spend their money elsewhere besides our dingy gas station. ","C'est calme, aujourd'hui. Il faut dire que je m'y attendais : beaucoup de gens ont déjà évacué, ou préfèrent juste dépenser leur argent ailleurs que dans notre station-service minable. "
"No Sc, msc: SupernovaAlt, sfx: Text_1, Next: [O5b]","O5a","-phone chimes-","- son de notification -"
"No Sc, msc: SupernovaAlt, sfx: , Next: [T1]","O5b","Crap.","Et merde."
"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","T1","Hey, did you finish packing?","Salut ! T'as fini de faire tes valises ?"
"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","T1-Option-1","Yeah. (Lie)","Ouais. (Mentir)"
"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","T1-Option-2","No, I’m at work right now.","Non, je suis au travail, là."
"Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [TDN1-2]","TDN1-1","Yeah. Just handling some things right now.","Ouais. Je termine juste les préparatifs."
"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [TDN1-3]","TDN1-2","Are you home? I can swing by your place to help.","T'es chez toi ? Je peux passer pour t'aider."
"Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [ROD1-1]","TDN1-3","No, its fine. I’m at work. The grind doesn’t stop.","Non, t'inquiète. Je suis au travail. Pas de repos pour les braves."
"Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [TDP1-2]","TDP1-1","I’m on the grind right now. I’ll see about that later.","Je suis au travail, là. Je verrai plus tard."
"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [TDP1-3]","TDP1-2","Dmi the SUN is gonna explode!?!?!?!","Mais Dmi le SOLEIL va exploser !?!?!?!"
"Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [ROD1-1]","TDP1-3","Yeah, and my account is gonna overdraft.","Ouais, et je suis presque à découvert sur mon compte."
"Sc: Rob, msc: SupernovaAlt, sfx: Rob_Short, Next: [D1D-1]","ROD1-1","Dmi!","Dmi !"
"No Sc, msc: SupernovaAlt, sfx: PhoneHangUp, Next: [DD1-1]","D1D-1","I jump from my seat and slam my phone onto the side of the counter.","D'un bond, je me lève de mon siège et repose précipitamment mon téléphone sur le côté du comptoir."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [D1D-2]","DD1-1","I wasn’t on my phone!","J'étais pas sur mon téléphone !"
"No Sc, msc: SupernovaAlt, sfx: RobHuff2, Next: [ROD1-2]","D1D-2","Rob huffs.","Rob souffle."
"Sc: Rob, msc: SupernovaAlt, sfx: ROB2, Next: [FOD1-1]","ROD1-2","I’m not your mother. I’m heading out, but I’m gonna leave Flubber with you.","Je suis pas ta mère. Je sors, mais je te laisse Flubber."
"No Sc, msc: SupernovaAlt, sfx: FLUBBER1, Next: [DD1-2]","FOD1-1","Flubber meows","Flubber miaule."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [ROD1-3]","DD1-2","Come on, Rob. What am I? A cat-sitter? and on company time?","Sérieux, Rob ? Je suis pas cat-sitter, moi. Et sur mon temps de travail, en plus ?"
"Sc: Rob, msc: SupernovaAlt, sfx: ROB3, Next: [DD1-3]","ROD1-3","Well, I’ll dock your pay if you don’t!","Si tu refuses, je baisse ta paie !"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [ROD1-4]","DD1-3","Don’t you do that already?","Ma paie est déjà réduite, non ?"
"Sc: Rob, msc: SupernovaAlt, no sfx, Next: [DD1-4]","ROD1-4","...","…"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [ROD1-5]","DD1-4","...","…"
"Sc: Rob, msc: SupernovaAlt, sfx: Rob_Short, Next: [ROD1-6]","ROD1-5","...anyways.","… Bref."
"Sc: Rob, msc: SupernovaAlt, sfx: ROB3, Next: [ROD1-7]","ROD1-6","I gotta help my mom pack, and Flubber likes to play in boxes.","Je dois aider ma mère à faire ses cartons, et Flubber aime trop jouer dans les boîtes."
"Sc: Rob, msc: SupernovaAlt, sfx: ROB2, Next: [FD1-1]","ROD1-7","Besides, she likes you anyway!","En plus, elle t'aime bien !"
"Sc: Flubber, msc: SupernovaAlt, sfx: FLUBBER2, Next: [ROD1-8]","FD1-1","Meow","Miaou."
"Sc: Rob, msc: SupernovaAlt, sfx: Rob_Short, Next: [DD1-5]","ROD1-8","See?","Tu vois ?"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [ROD1-9]","DD1-5","Fine...","C'est d'accord…"
