"location","context","source","target"
"SAJ1","I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","Space Alpaca Jerky","Jerky de alpaca spațial"
"SAJ2","I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","Don’t read the warning label. It’ll taste better.","Nu citi eticheta de avertizare. Va avea un gust mai bun."
"DDS1","I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","Deia Deia Soda","Deia Deia Cola"
"DDS2","I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","Andromeda soda brands always taste WAYYY better compared to Milkyway brands.","Andromeda?  Gustul e din AAALTĂ galaxie. Milkyway nici nu se apropie."
"AP1","I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","Arinator Paste (Mint Choco Flavor)","Pastă de dinți Arinator (Mentă‑Ciocolată)"
"AP2","I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","The mint choco lovers never should have evolved with us…","Iubitorii de mentă cu ciocolată nu ar fi trebuit niciodată să evolueze alături de noi…"
"MGN1","Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","M’Ghooni Nachos","Nachos M’Ghooni"
"MGN2","Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","Perfect for the night time munchies no matter which planet you’re on!","Perfect pentru poftele de noapte, indiferent pe ce planetă te afli!"
"SD1","Weird hot dogs!!!! They’re a weird color!!!","Saturn Dogs","Hotdogi cosmici saturnieni"
"SD2","Weird hot dogs!!!! They’re a weird color!!!","One of the most iconic ways to eat a hot dog in the solar system. Soon, iconic nowhere!","Unul dintre cele mai emblematice moduri de a mânca un hotdog în întregul sistem solar. În curând, nicăieri va deveni emblematic!"
"ZC1","Silly numbers!","Zolkan Coffee","Cafea Zolkan"
"ZC2","Silly numbers!","Made with 500% Zolkan coffee beans! How'd they figure out the 400%?","Preparată din 500% boabe de cafea Zolkan! Cum au calculat procentul de 400%?"
"MM1","Main Menu","Start","Începe"
"MM2","Main Menu","Options","Opțiuni"
"MM3","Main Menu","Exit","Ieșire"
"OPT1","Options Menu","Sound Options","Opțiuni sunet"
"OPT2","Options Menu","Background Music Volume","Volum muzică de fundal"
"OPT3","Options Menu","Character Speech Volume","Volum voce personaje"
"OPT4","Options Menu","Sound Effects Volume","Volum efecte sonore"
"OPT5","Options Menu","Cancel","Anulează"
"OPT6","Options Menu","Save","Salvează"
"NUM","This is the values for the slider bar, for localizing numbers. We need all the numbers between 0 and 100","0.000000000","0.000000000"
"PM1","Pause Menu","Game Paused","Pauză joc"
"PM2","Pause Menu","Save","Salvează"
"PM3","Pause Menu","Load","Încarcă"
"PM4","Pause Menu","Options","Opțiuni"
"PM5","Pause Menu","Quit","Ieșire"
"NAV1","phone and narrative navigation","now","acum"
"NAV2","phone and narrative navigation","back","înapoi"
"NAV3","phone and narrative navigation","next","următorul"
"CS1","Credit Screen","Credits","Credite"
"CS2","Credit Screen","writer","autor"
"CS3","Credit Screen","Character Designer/Artist","Designer/Artist personaje"
"CS4","Credit Screen","Background and Item Artist","Artist de fundaluri și item‑uri"
"CS5","Credit Screen","Composer/Sound Designer","Compozitor muzică și designer de sunet"
"CS6","Credit Screen","Additional Voice-Over","Dublaj suplimentar"
"CS7","Credit Screen","UX/UI Designer","Designer UX/UI"
"CS8","Credit Screen","Programmer","Programator"
"S1","In the shop","Turn Around","Întoarce-te"
"S2","In the shop","Alpaca Jerky","Jerky de alpaca"
"S3","In the shop","Deia Deia","Deia Deia Cola"
"S4","In the shop","Arinator","Arinator"
