"context","location","source","target"
"No Sc, msc: SupernovaAlt, no sfx, Next: [O2]","O1","The Solar System. We all know it well. Home to an indescribable number of lifeforms across each planet.","Ai cũng biết Hệ Mặt Trời. Đó là mái nhà chung của hằng hà sa số các hành tinh và những loài sinh vật trên ấy."
"No Sc, msc: SupernovaAlt, no sfx, Next: [O3]","O2","That doesn’t matter much anymore. The Solar System is reaching its end and our Sun is reaching the end of its days. From Mercury to Uranus (Justice for Pluto) people are evacuating to escape the incoming supernova.","Nhưng có biết cũng chẳng để làm gì nữa. Mặt Trời sẽ sớm nổ tung và đưa cả Hệ Mặt Trời về cát bụi. Cư dân vũ trụ, từ Sao Thuỷ đến Sao Thiên Vương (và cả Sao Diêm Vương!), đều đang di tản để tránh vụ nổ siêu tân tinh khổng lồ sắp ập đến."
"No Sc, msc: SupernovaAlt, no sfx, Next: [O4]","O3","and I’m clocking in.","Còn tôi thì đi làm."
"No Sc, msc: SupernovaAlt, no sfx, Next: [O5a]","O4","It's a slow day. Not that it wasn’t expected or anything. A lot of people have evacuated already, or they just want to spend their money elsewhere besides our dingy gas station. ","Một ngày yên ắng. Cũng không có gì lạ. Người ta tháo chạy cả rồi, còn ai có tiền thì cũng chẳng buồn tạt qua cái trạm xăng tồi tàn này. "
"No Sc, msc: SupernovaAlt, sfx: Text_1, Next: [O5b]","O5a","-phone chimes-","[chuông điện thoại reo lên]"
"No Sc, msc: SupernovaAlt, sfx: , Next: [T1]","O5b","Crap.","Chết rồi."
"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","T1","Hey, did you finish packing?","Ê, dọn đồ chưa?"
"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","T1-Option-1","Yeah. (Lie)","Rồi. (Nói dối)"
"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","T1-Option-2","No, I’m at work right now.","Chưa, đang đi làm."
"Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [TDN1-2]","TDN1-1","Yeah. Just handling some things right now.","Ừ, đang bận xíu."
"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [TDN1-3]","TDN1-2","Are you home? I can swing by your place to help.","Có nhà không? Để qua phụ nè."
"Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [ROD1-1]","TDN1-3","No, its fine. I’m at work. The grind doesn’t stop.","Thôi khỏi, đang đi làm. Sao mà bỏ việc được."
"Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [TDP1-2]","TDP1-1","I’m on the grind right now. I’ll see about that later.","Đang đi làm. Cái đó tính sau."
"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [TDP1-3]","TDP1-2","Dmi the SUN is gonna explode!?!?!?!","MẶT TRỜI sắp nổ tung á Mi!?!?!?"
"Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [ROD1-1]","TDP1-3","Yeah, and my account is gonna overdraft.","Mặt trời có phát nổ thì mình cũng đâu hết nợ."
"Sc: Rob, msc: SupernovaAlt, sfx: Rob_Short, Next: [D1D-1]","ROD1-1","Dmi!","Mi!"
"No Sc, msc: SupernovaAlt, sfx: PhoneHangUp, Next: [DD1-1]","D1D-1","I jump from my seat and slam my phone onto the side of the counter.","Tôi nhảy dựng khỏi ghế và quăng chiếc điện thoại vào góc bàn."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [D1D-2]","DD1-1","I wasn’t on my phone!","Em đâu có dùng điện thoại!"
"No Sc, msc: SupernovaAlt, sfx: RobHuff2, Next: [ROD1-2]","D1D-2","Rob huffs.","Rob ""hừ"" một tiếng."
"Sc: Rob, msc: SupernovaAlt, sfx: ROB2, Next: [FOD1-1]","ROD1-2","I’m not your mother. I’m heading out, but I’m gonna leave Flubber with you.","Miễn trình bày. Tôi ra ngoài xíu, trông con Múp Míp giùm nhé."
