"location","context","source","target"
"SAJ1","I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","Space Alpaca Jerky","우주 알파카 육포"
"SAJ2","I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","Don’t read the warning label. It’ll taste better.","주의 사항은 무시하세요. 그 편이 더 맛있을 겁니다."
"DDS1","I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","Deia Deia Soda","데이아 데이아 소다"
"DDS2","I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","Andromeda soda brands always taste WAYYY better compared to Milkyway brands.","안드로메다에서 만든 음료수는 언제 마셔도 맛있습니다. 은하수 제품과는 비교도 안 되죠."
"AP1","I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","Arinator Paste (Mint Choco Flavor)","아리네이터 치약(민트초코향)"
"AP2","I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","The mint choco lovers never should have evolved with us…","민초파들은 진화하지 말았어야 했습니다..."
"MGN1","Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","M’Ghooni Nachos","맥구니 나초"
"MGN2","Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","Perfect for the night time munchies no matter which planet you’re on!","어느 행성에서나 인정받는 최고의 야식입니다!"
"SD1","Weird hot dogs!!!! They’re a weird color!!!","Saturn Dogs","토성 핫도그"
"SD2","Weird hot dogs!!!! They’re a weird color!!!","One of the most iconic ways to eat a hot dog in the solar system. Soon, iconic nowhere!","태양계에서 가장 상징적인 핫도그 스타일 중 하나입니다. 곧 어디서도 볼 수 없게 될 상징이죠!"
"ZC1","Silly numbers!","Zolkan Coffee","졸칸 커피"
"ZC2","Silly numbers!","Made with 500% Zolkan coffee beans! How'd they figure out the 400%?","500% 졸칸 원두로 만들었습니다! 400%는 어떻게 측정했을까요?"
"MM1","Main Menu","Start","시작"
"MM2","Main Menu","Options","환경 설정"
"MM3","Main Menu","Exit","종료"
"OPT1","Options Menu","Sound Options","소리 설정"
"OPT2","Options Menu","Background Music Volume","배경음 음량"
"OPT3","Options Menu","Character Speech Volume","캐릭터 음성 음량"
"OPT4","Options Menu","Sound Effects Volume","효과음 음량"
"OPT5","Options Menu","Cancel","취소"
"OPT6","Options Menu","Save","저장"
"NUM","This is the values for the slider bar, for localizing numbers. We need all the numbers between 0 and 100","0.000000000","0.000000000"
"PM1","Pause Menu","Game Paused","게임 일시 중지됨"
"PM2","Pause Menu","Save","저장"
"PM3","Pause Menu","Load","불러오기"
"PM4","Pause Menu","Options","환경 설정"
"PM5","Pause Menu","Quit","종료"
"NAV1","phone and narrative navigation","now","지금"
"NAV2","phone and narrative navigation","back","뒤로"
"NAV3","phone and narrative navigation","next","다음"
"CS1","Credit Screen","Credits","크레딧"
"CS2","Credit Screen","writer","작가"
"CS3","Credit Screen","Character Designer/Artist","캐릭터 디자이너/아티스트"
"CS4","Credit Screen","Background and Item Artist","배경 및 아이템 아티스트"
"CS5","Credit Screen","Composer/Sound Designer","작곡가/사운드 디자이너"
"CS6","Credit Screen","Additional Voice-Over","보조 음성 녹음"
"CS7","Credit Screen","UX/UI Designer","UX/UI 디자이너"
"CS8","Credit Screen","Programmer","프로그래머"
"S1","In the shop","Turn Around","둘러보기"
"S2","In the shop","Alpaca Jerky","알파카 육포"
"S3","In the shop","Deia Deia","데이아 데이아"
"S4","In the shop","Arinator","아리네이터"
"S5","In the shop","Food","식품"
"IGD1","Itch Game Description","Supernova is a hybrid between a point-and-click and a visual novel with inspiration from games like Coffee Talk.  ","Supernova는 Coffee Talk 등의 게임에서 영감을 받아 만든 작품으로, 포인트 앤 클릭 어드벤처에 비주얼 노벨을 융합했습니다.  "
"IGD2","Itch Game Description","You are playing as Dmi, a gas station employee on Mars’ moon. ","여러분은 화성의 위성에서 살아가는 주유소 직원 '드미'가 되어 이야기를 이끌어 갑니다. "
"IGD3","Itch Game Description","The solar system is reaching its end, and a supernova will wipe out everything in three days.","태양계에 종말이 다가오고 있습니다. 사흘 뒤, 초신성이 모든 것을 쓸어 버릴 것입니다."
"IGD4","Itch Game Description","You’re clocking in. ","이제 출근할 시간입니다. "
"IGD5","Itch Game Description","Most people have relocated already, but a few people are still around.","대부분은 이미 이주를 끝마쳤지만, 몇몇이 아직 남아있습니다."
"IGD6","Itch Game Description","Who will you meet in those last three days?","마지막 사흘, 과연 누구를 만나게 될까요?"
"IGD7","Itch Game Description","Notes from the creators:","제작진의 메모:"
"IGD8","Itch Game Description","A significant amount of work went into making this game accessible, thanks to our UX designer Susan.","게임의 접근성을 높이는 데 상당히 많은 노력이 들었습니다. 우리의 UX 디자이너인 Susan에게 감사를 전합니다."
"IGD9","Itch Game Description","Features:","특징:"
"IGD10","Itch Game Description","Roughly 7,000 words of dialogue and narration","약 7000단어 분량의 대화 및 내레이션"
"IGD11","Itch Game Description","Two Endings!","두 가지 엔딩!"
"IGD12","Itch Game Description","You can pet the cat(?)!","쓰다듬을 수 있는 고양이(?)!"
"IGD13","Itch Game Description","One playthrough should be around 25 minutes","한 회차에 약 25분 소요"
"IGD14","Itch Game Description","A Special thanks to Trey and Brandon for keeping Britney sane while organizing dialogue!","대화를 구성하는 동안 Britney의 정신 줄을 붙잡아 준 Trey와 Brandon에게 특별히 감사드립니다!"
"IGD15","Itch Game Description","Contributors:","기여자:"
"IGD16","Itch Game Description","Attribution:","사용한 자료:"
"IGD17","Not sure if some of the non-latin alphabets need to translate this","Twitter","X"
"IGD18","Not sure if some of the non-latin alphabets need to translate this","Instagram","인스타그램"
"IGD19","Not sure if some of the non-latin alphabets need to translate this","Linktree","링크트리"
"IGD20","Itch Game Description","Portfolio","포트폴리오"
"INSTALL1","Installation details","Mac users - you may have to use the itch app to play this game","맥 사용자는 게임 플레이에 itch 앱이 필요할 수 있습니다."
"NAV4"," On the phone missing string","How do you want to respond?","뭐라고 보낼까?"
"S6","Front of shop shelves","Go Back","뒤로"
"PM6","Pause menu","Resume","이어하기"
"OPT7","Options Menu","Language Options","언어 설정"
