"location","context","source","target"
"SAJ1","I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","Space Alpaca Jerky","Lạc đà Alpaca khô"
"SAJ2","I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","Don’t read the warning label. It’ll taste better.","Không đọc phần nhãn cảnh báo thì sẽ thấy ngon."
"DDS1","I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","Deia Deia Soda","Nước ngọt Deia Deia"
"DDS2","I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","Andromeda soda brands always taste WAYYY better compared to Milkyway brands.","Mấy người ở dải Ngân Hà làm gì mà biết tới đẳng cấp của nước ngọt ở Thiên hà Tiên Nữ."
"AP1","I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","Arinator Paste (Mint Choco Flavor)","Kem đánh răng socola bạc hà Arinator"
"AP2","I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","The mint choco lovers never should have evolved with us…","Sao tụi khủng long tuyệt chủng rồi mà cái vị này còn ở đây vậy?"
"MGN1","Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","M’Ghooni Nachos","Bánh nacho M’Ghooni"
"MGN2","Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","Perfect for the night time munchies no matter which planet you’re on!","Chân ái cho những chiếc bụng đói hay những ai hay buồn miệng vào nửa đêm!"
"SD1","Weird hot dogs!!!! They’re a weird color!!!","Saturn Dogs","Xúc xích Sao Thổ"
"SD2","Weird hot dogs!!!! They’re a weird color!!!","One of the most iconic ways to eat a hot dog in the solar system. Soon, iconic nowhere!","Món hotdog đỉnh nhất Hệ Mặt Trời trước khi không còn Mặt Trời. Sau đó thì còn cái nịt."
"ZC1","Silly numbers!","Zolkan Coffee","Cà phê Zolkan"
"ZC2","Silly numbers!","Made with 500% Zolkan coffee beans! How'd they figure out the 400%?","Được làm từ 500% hạt cà phê Zolkan! Chắc 400% là tự bịa ra quá."
"MM1","Main Menu","Start","Bắt đầu"
"MM2","Main Menu","Options","Tùy chọn"
"MM3","Main Menu","Exit","Thoát"
"OPT1","Options Menu","Sound Options","Tùy chọn âm thanh"
"OPT2","Options Menu","Background Music Volume","Nhạc nền"
