"location","context","source","target"
"SAJ1","I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","Space Alpaca Jerky","Космоальпачі джерки"
"SAJ2","I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","Don’t read the warning label. It’ll taste better.","Не читайте склад. Так краще смакуватиме."
"DDS1","I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","Deia Deia Soda","Газованка «Дея Дея»"
"DDS2","I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","Andromeda soda brands always taste WAYYY better compared to Milkyway brands.","В Андромеді завжди НАБАГАААТО смачніша газованка, ніж у Чумацькому шляху."
"AP1","I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","Arinator Paste (Mint Choco Flavor)","Паста від Арінатор (шоколадно-м’ятна)"
"AP2","I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","The mint choco lovers never should have evolved with us…","Любителям шоколадно-м’ятного смаку не варто було еволюціонувати разом із нами..."
"MGN1","Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","M’Ghooni Nachos","Начос «М’ґуні»"
"MGN2","Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","Perfect for the night time munchies no matter which planet you’re on!","Ідеальний «нічний дожор», на якій би планеті ви не були! "
"SD1","Weird hot dogs!!!! They’re a weird color!!!","Saturn Dogs","Сатурндоги"
"SD2","Weird hot dogs!!!! They’re a weird color!!!","One of the most iconic ways to eat a hot dog in the solar system. Soon, iconic nowhere!","Найлегендарніший спосіб поїсти хотдогів у сонячній системі. Скоро не буде легендарним ніде!"
"ZC1","Silly numbers!","Zolkan Coffee","Золканська кава"
"ZC2","Silly numbers!","Made with 500% Zolkan coffee beans! How'd they figure out the 400%?","Виготовлена з 500% золканських кавових зерен! Звідки ж узялися решта 400%?"
"MM1","Main Menu","Start","Почати гру"
"MM2","Main Menu","Options","Налаштування"
"MM3","Main Menu","Exit","Вийти"
"OPT1","Options Menu","Sound Options","Налаштування звуку"
"OPT2","Options Menu","Background Music Volume","Гучність фонової музики"
"OPT3","Options Menu","Character Speech Volume","Гучність озвучення"
"OPT4","Options Menu","Sound Effects Volume","Гучність звукових ефектів"
"OPT5","Options Menu","Cancel","Скасувати"
"OPT6","Options Menu","Save","Зберегти"
"NUM","This is the values for the slider bar, for localizing numbers. We need all the numbers between 0 and 100","0.000000000",""
"PM1","Pause Menu","Game Paused","Гру призупинено"
"PM2","Pause Menu","Save","Зберегти"
"PM3","Pause Menu","Load","Завантажити"
"PM4","Pause Menu","Options","Налаштування"
"PM5","Pause Menu","Quit","Вийти"
"NAV1","phone and narrative navigation","now","щойно"
"NAV2","phone and narrative navigation","back","назад"
"NAV3","phone and narrative navigation","next","далі"
"CS1","Credit Screen","Credits","Автори"
"CS2","Credit Screen","writer","Сценарій"
"CS3","Credit Screen","Character Designer/Artist","Дизайн персонажів і малюнки"
"CS4","Credit Screen","Background and Item Artist","Малюнки фонів і предметів"
"CS5","Credit Screen","Composer/Sound Designer","Музичний супровід і звуковий дизайн"
"CS6","Credit Screen","Additional Voice-Over","Додаткове озвучення"
"CS7","Credit Screen","UX/UI Designer","UX/UI дизайн"
"CS8","Credit Screen","Programmer","Програмування"
"S1","In the shop","Turn Around","Обернутися"
"S2","In the shop","Alpaca Jerky","Альпачі джерки"
"S3","In the shop","Deia Deia","«Дея Дея»"
"S4","In the shop","Arinator","Арінатор"
"S5","In the shop","Food","Їжа"
"IGD1","Itch Game Description","Supernova is a hybrid between a point-and-click and a visual novel with inspiration from games like Coffee Talk.  ","Supernova — суміш жанрів «указати й клацнути» та візуальної оповіді, що надихалася іграми, подібними Coffee Talk.  "
"IGD2","Itch Game Description","You are playing as Dmi, a gas station employee on Mars’ moon. ","Ви граєте за Дмі, працівників заправної станції на одному з місяців Марсу. "
"IGD3","Itch Game Description","The solar system is reaching its end, and a supernova will wipe out everything in three days.","Сонячна система близиться до загибелі, адже за три дні все навколо знищить вибух наднової."
"IGD4","Itch Game Description","You’re clocking in. ","Тим часом ви виходите на роботу. "
"IGD5","Itch Game Description","Most people have relocated already, but a few people are still around.","Більшість жителів уже евакуювалися, та дехто й досі лишився."
"IGD6","Itch Game Description","Who will you meet in those last three days?","Кого ж ви зустрінете в ці останні три дні?"
"IGD7","Itch Game Description","Notes from the creators:","Примітки від творців:"
"IGD8","Itch Game Description","A significant amount of work went into making this game accessible, thanks to our UX designer Susan.","Наша UX-дизайнерка Сьюзен доклала багато зусиль, щоби зробити цю гру доступною для всіх."
"IGD9","Itch Game Description","Features:","Особливості:"
"IGD10","Itch Game Description","Roughly 7,000 words of dialogue and narration","Близько 7 000 слів діалогів і оповіді"
"IGD11","Itch Game Description","Two Endings!","Дві кінцівки!"
"IGD12","Itch Game Description","You can pet the cat(?)!","Можна погладити кицю(?)!"
"IGD13","Itch Game Description","One playthrough should be around 25 minutes","Проходження займає близько 25 хвилин"
