"context","location","source","target"
"I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","SAJ1","Space Alpaca Jerky","Lạc đà Alpaca sấy khô"
"I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","SAJ2","Don’t read the warning label. It’ll taste better.","Ngon hơn nếu bạn không đọc Hướng dẫn sử dụng."
"I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","DDS1","Deia Deia Soda","Nước ngọt Deia Deia"
"I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","DDS2","Andromeda soda brands always taste WAYYY better compared to Milkyway brands.","Nước ngọt ở Thiên hà Tiên Nữ lúc nào cũng ngon HƠN HẲN nước ngọt ở Dải Ngân Hà."
"I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","AP1","Arinator Paste (Mint Choco Flavor)","Kem đánh răng Arinator (vị Socola Bạc hà)"
"I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","AP2","The mint choco lovers never should have evolved with us…","Sao mấy người thích ăn socola bạc hà còn chưa tuyệt chủng nữa?"
"Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","MGN1","M’Ghooni Nachos","Bánh nachos M’Ghooni"
"Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","MGN2","Perfect for the night time munchies no matter which planet you’re on!","Lựa chọn hàng đầu để đánh bay cảm giác thèm ăn của bạn vào lúc nửa đêm!"
"Weird hot dogs!!!! They’re a weird color!!!","SD1","Saturn Dogs","Xúc xích Sao Thổ"
"Weird hot dogs!!!! They’re a weird color!!!","SD2","One of the most iconic ways to eat a hot dog in the solar system. Soon, iconic nowhere!","Nhanh tay thưởng thức ngay món hotdog ngon nhất Hệ Mặt Trời trước khi mọi thứ nổ tung!"
"Silly numbers!","ZC1","Zolkan Coffee","Cà phê Zolkan"
"Silly numbers!","ZC2","Made with 500% Zolkan coffee beans! How'd they figure out the 400%?","Được làm từ 500% hạt cà phê Zolkan! Ủa mà họ lấy 400% ở đâu ra vậy?"
"Main Menu","MM1","Start","Bắt đầu"
"Main Menu","MM2","Options","Tùy chọn"
"Main Menu","MM3","Exit","Đăng xuất"
"Options Menu","OPT1","Sound Options","Cài đặt Âm thanh"
"Options Menu","OPT2","Background Music Volume","Nhạc nền"
"Options Menu","OPT3","Character Speech Volume","Giọng nói nhân vật"
"Options Menu","OPT4","Sound Effects Volume","Hiệu ứng âm thanh"
"Options Menu","OPT5","Cancel","Hủy"
"Options Menu","OPT6","Save","Lưu"
