"location","context","source","target"
"SAJ1","I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","Space Alpaca Jerky","Szárított űralpakahús"
"SAJ2","I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","Don’t read the warning label. It’ll taste better.","Ne olvasd el a figyelmeztető címkét. Úgy jobban ízlik."
"DDS1","I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","Deia Deia Soda","Deia Deia androkóla"
"DDS2","I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","Andromeda soda brands always taste WAYYY better compared to Milkyway brands.","Az androméda üdítőmárkák mindig SOKKAL finomabbak, mint a Tejútrendszer márkái."
"AP1","I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","Arinator Paste (Mint Choco Flavor)","Arinátor fogpaszta (Mentás-csoki ízesítés)"
"AP2","I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","The mint choco lovers never should have evolved with us…","A mentás-csoki imádóinak már rég ki kellett volna halniuk..."
"MGN1","Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","M’Ghooni Nachos","Űrláz nacho"
"MGN2","Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","Perfect for the night time munchies no matter which planet you’re on!","Tökéletes éjjeli nasi, bármelyik bolygón is vagy!"
"SD1","Weird hot dogs!!!! They’re a weird color!!!","Saturn Dogs","Szaturnusz hot dog"
"SD2","Weird hot dogs!!!! They’re a weird color!!!","One of the most iconic ways to eat a hot dog in the solar system. Soon, iconic nowhere!","A hot dog evés egyik legtutibb módja a naprendszerben. Már nem sokáig!"
"ZC1","Silly numbers!","Zolkan Coffee","Zolkán kávé"
"ZC2","Silly numbers!","Made with 500% Zolkan coffee beans! How'd they figure out the 400%?","500%-ban Zolkán kávébabból készült! Vajon honnan vették a maradék 400%-ot?"
"MM1","Main Menu","Start","Új játék"
"MM2","Main Menu","Options","Beállítások"
"MM3","Main Menu","Exit","Kilépés"
