"location","context","source","target"
"SAJ1","I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","Space Alpaca Jerky","スペース・アルパカ・\nジャーキー"
"SAJ2","I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","Don’t read the warning label. It’ll taste better.","「注意」って部分は読まない方が\nいい。その方がおいしく食べられるから。"
"DDS1","I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","Deia Deia Soda","デイア・デイア・ソーダ"
"DDS2","I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","Andromeda soda brands always taste WAYYY better compared to Milkyway brands.","炭酸飲料は、どれも「ミルキーウェイ」より「アンドロメダ」\nブランドの方が\nずーーーっとおいしい。"
"AP1","I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","Arinator Paste (Mint Choco Flavor)","アリネーター歯みがき粉\n（チョコミント味）"
"AP2","I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","The mint choco lovers never should have evolved with us…","どうしてチョコミン党の人たちも我々と一緒に進化してしまったのか…"
"MGN1","Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","M’Ghooni Nachos","ム・グ～ニ・ナチョス"
"MGN2","Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","Perfect for the night time munchies no matter which planet you’re on!","どの星にいても、ちょっとした夜のおやつにぴったり！"
"SD1","Weird hot dogs!!!! They’re a weird color!!!","Saturn Dogs","サターン・ドッグ"
"SD2","Weird hot dogs!!!! They’re a weird color!!!","One of the most iconic ways to eat a hot dog in the solar system. Soon, iconic nowhere!","この太陽系で、何よりもアイコニックなスタイルのホットドッグだ。もうすぐその存在自体がなくなるけど！"
"ZC1","Silly numbers!","Zolkan Coffee","ゾルカン・コーヒー"
"ZC2","Silly numbers!","Made with 500% Zolkan coffee beans! How'd they figure out the 400%?","ゾルカ産のコーヒー豆を500％、ていねいに焙煎！400%はどうなってるんだろう？"
"MM1","Main Menu","Start","始める"
"MM2","Main Menu","Options","設定"
"MM3","Main Menu","Exit","終了"
"OPT1","Options Menu","Sound Options","音量設定"
"OPT2","Options Menu","Background Music Volume","BGM"
"OPT3","Options Menu","Character Speech Volume","キャラ音声"
"OPT4","Options Menu","Sound Effects Volume","エフェクト"
"OPT5","Options Menu","Cancel","やめる"
"OPT6","Options Menu","Save","セーブ"
"NUM","This is the values for the slider bar, for localizing numbers. We need all the numbers between 0 and 100","0.000000000",""
"PM1","Pause Menu","Game Paused","一時停止中"
"PM2","Pause Menu","Save","セーブ"
"PM3","Pause Menu","Load","ロード"
"PM4","Pause Menu","Options","設定"
"PM5","Pause Menu","Quit","終了"
"NAV1","phone and narrative navigation","now","今"
"NAV2","phone and narrative navigation","back","前へ"
"NAV3","phone and narrative navigation","next","次へ"
"CS1","Credit Screen","Credits","クレジット"
"CS2","Credit Screen","writer","ライター"
"CS3","Credit Screen","Character Designer/Artist","キャラクターデザイナー/\nアーティスト"
"CS4","Credit Screen","Background and Item Artist","背景およびアイテムアート"
"CS5","Credit Screen","Composer/Sound Designer","作曲/サウンドデザイナー"
"CS6","Credit Screen","Additional Voice-Over","追加ボイス"
"CS7","Credit Screen","UX/UI Designer","UX/UIデザイナー"
"CS8","Credit Screen","Programmer","プログラマー"
"S1","In the shop","Turn Around","ふりかえる"
"S2","In the shop","Alpaca Jerky","アルパカ・ジャーキー"
"S3","In the shop","Deia Deia","デイア・デイア"
"S4","In the shop","Arinator","アリネーター"
"S5","In the shop","Food","フード"
"IGD1","Itch Game Description","Supernova is a hybrid between a point-and-click and a visual novel with inspiration from games like Coffee Talk.  ","『Supernova』は、ポイント＆クリックとビジュアルノベルを組み合わせたゲーム。『Coffee Talk』などのゲーム作品からインスパイアされている。  "
"IGD2","Itch Game Description","You are playing as Dmi, a gas station employee on Mars’ moon. ","あなたがプレイするのは、キャラクターの「ドゥミ」だ。火星の衛星にあるガソリンスタンドで働いている。 "
"IGD3","Itch Game Description","The solar system is reaching its end, and a supernova will wipe out everything in three days.","太陽系には終わりが近づいている。あと3日すれば、スーパーノヴァがすべてを無に還すのだ。"
"IGD4","Itch Game Description","You’re clocking in. ","そんな中、あなたは仕事にとりかかる。 "
"IGD5","Itch Game Description","Most people have relocated already, but a few people are still around.","ほとんどはすでに太陽系から移住したが、ほんの少し残った人たちもいる。"
"IGD6","Itch Game Description","Who will you meet in those last three days?","最後の3日間、あなたはどんな人たちに会うだろうか？"
"IGD7","Itch Game Description","Notes from the creators:","チームからの一言："
"IGD8","Itch Game Description","A significant amount of work went into making this game accessible, thanks to our UX designer Susan.","どなたにもこのゲームをお楽しみいただけるよう、UXデザイナーのスーザンが膨大な作業を請け負ってくれました。"
"IGD9","Itch Game Description","Features:","特徴："
"IGD10","Itch Game Description","Roughly 7,000 words of dialogue and narration","英語でおおよそ7000語の会話およびナレーション"
"IGD11","Itch Game Description","Two Endings!","2つのエンディング！"
"IGD12","Itch Game Description","You can pet the cat(?)!","猫ちゃん（？）を撫でられる！"
"IGD13","Itch Game Description","One playthrough should be around 25 minutes","1周するのにおおよそ25分"
"IGD14","Itch Game Description","A Special thanks to Trey and Brandon for keeping Britney sane while organizing dialogue!","Special Thanks: ブリトニーがダイアログを整えている間、彼女の正気を保たせてくれたトレイ＆ブランドンに！"
"IGD15","Itch Game Description","Contributors:","チームメンバー："
"IGD16","Itch Game Description","Attribution:","使用した素材："
"IGD17","Not sure if some of the non-latin alphabets need to translate this","Twitter","Twitter"
"IGD18","Not sure if some of the non-latin alphabets need to translate this","Instagram","Instagram"
"IGD19","Not sure if some of the non-latin alphabets need to translate this","Linktree","Linktree"
"IGD20","Itch Game Description","Portfolio","ポートフォリオ"
"INSTALL1","Installation details","Mac users - you may have to use the itch app to play this game","Macでこのゲームをプレイするには、itchのアプリが必要になる場合があります。"
"NAV4"," On the phone missing string","How do you want to respond?","なんて返信しようか？"
"S6","Front of shop shelves","Go Back","戻る"
"PM6","Pause menu","Resume","再開"
"OPT7","Options Menu","Language Options","言語設定"
