location,context,source,target
O1,"No Sc, msc: SupernovaAlt, no sfx, Next: [O2]",The Solar System. We all know it well. Home to an indescribable number of lifeforms across each planet.,"Kita semua kenal dengan Tata Surya, rumah untuk banyak makhluk hidup dalam setiap planetnya."
O2,"No Sc, msc: SupernovaAlt, no sfx, Next: [O3]",That doesn’t matter much anymore. The Solar System is reaching its end and our Sun is reaching the end of its days. From Mercury to Uranus (Justice for Pluto) people are evacuating to escape the incoming supernova.,Tapi itu sudah tidak penting lagi. Tata Surya akan berakhir dan usia Matahari akan berakhir. Semua orang dari Merkurius hingga Uranus (keadilan untuk Pluto!) berevakuasi untuk kabur dari supernova yang akan terjadi.
O3,"No Sc, msc: SupernovaAlt, no sfx, Next: [O4]",and I’m clocking in.,"Sementara itu, aku mulai bekerja."
O4,"No Sc, msc: SupernovaAlt, no sfx, Next: [O5a]","It's a slow day. Not that it wasn’t expected or anything. A lot of people have evacuated already, or they just want to spend their money elsewhere besides our dingy gas station. ","Ini hari yang terasa lambat. Aku tidak mengharapkan apa pun. Banyak yang sudah pergi, atau mereka hanya mau menghabiskan uang di tempat lain selain pom bensin kumal ini."
O5a,"No Sc, msc: SupernovaAlt, sfx: Text_1, Next: [O5b]",-phone chimes-,(HP berdering)
O5b,"No Sc, msc: SupernovaAlt, sfx: , Next: [T1]",Crap.,Sialan.
T1,"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDP1-1,TDN1-1]","Hey, did you finish packing?","Hei, udah selesai berkemas?"
TDP1-1,"Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [TDP1-2]",I’m on the grind right now. I’ll see about that later.,"Lg kerja, liat nanti aja."
TDP1-2,"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [TDP1-3]",Dmi the SUN is gonna explode!?!?!?!,"Dmi, MATAHARI bakal meledak, lho!?!?!?!"
TDP1-3,"Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [ROD1-1]","Yeah, and my account is gonna overdraft.","Iya, tp aku masih butuh makan."
TDN1-1,"Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [TDN1-2]",Yeah. Just handling some things right now.,Iya. Cuman lg ada urusan dikit.
TDN1-2,"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [TDN1-3]",Are you home? I can swing by your place to help.,"Kamu di rumah? Aku bisa mampir, nih."
TDN1-3,"Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [ROD1-1]","No, its fine. I’m at work. The grind doesn’t stop.","Gausah. Aku di tempat kerja, gada makan yg gratis."
ROD1-1,"Sc: Rob, msc: SupernovaAlt, sfx: Rob_Short, Next: [D1D-1]",Dmi!,Dmi!
D1D-1,"No Sc, msc: SupernovaAlt, sfx: PhoneHangUp, Next: [DD1-1]",I jump from my seat and slam my phone onto the side of the counter.,Aku terlompat dari kursi dan membanting HP ke meja sisi kasir.
DD1-1,"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [D1D-2]",I wasn’t on my phone!,Aku enggak main HP!
D1D-2,"No Sc, msc: SupernovaAlt, sfx: RobHuff2, Next: [ROD1-2]",Rob huffs.,Rob mendengus.
ROD1-2,"Sc: Rob, msc: SupernovaAlt, sfx: ROB2, Next: [FOD1-1]","I’m not your mother. I’m heading out, but I’m gonna leave Flubber with you.","Emang aku ibumu? Aku ada urusan dulu. Jaga Flubber, ya."
FOD1-1,"No Sc, msc: SupernovaAlt, sfx: FLUBBER1, Next: [DD1-2]",Flubber meows,Flubber mengeong.
DD1-2,"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [ROD1-3]","Come on, Rob. What am I? A cat-sitter? and on company time?","Ayolah, Rob. Kenapa aku harus jaga kucing pas lagi kerja?"
ROD1-3,"Sc: Rob, msc: SupernovaAlt, sfx: ROB3, Next: [DD1-3]","Well, I’ll dock your pay if you don’t!","Kalau enggak, gajimu kupotong!"
DD1-3,"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [ROD1-4]",Don’t you do that already?,Emang sebelumnya enggak pernah dipotong?
ROD1-4,"Sc: Rob, msc: SupernovaAlt, no sfx, Next: [DD1-4]",...,…
DD1-4,"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [ROD1-5]",...,…
ROD1-5,"Sc: Rob, msc: SupernovaAlt, sfx: Rob_Short, Next: [ROD1-6]",...anyways.,… Balik lagi ke poin utamanya.
ROD1-6,"Sc: Rob, msc: SupernovaAlt, sfx: ROB3, Next: [ROD1-7]","I gotta help my mom pack, and Flubber likes to play in boxes. ",Aku harus bantu ibuku berkemas dan Flubber juga suka main kardus.
ROD1-7,"Sc: Rob, msc: SupernovaAlt, sfx: ROB2, Next: [FD1-1]","Besides, she likes you anyway!","Lagian, dia kan sayang kamu!"
FD1-1,"Sc: Flubber, msc: SupernovaAlt, sfx: FLUBBER2, Next: [ROD1-8]",Meow,Meong
ROD1-8,"Sc: Rob, msc: SupernovaAlt, sfx: Rob_Short, Next: [DD1-5]",See?,"Tuh, kan?"
DD1-5,"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [ROD1-9]",Fine...,"Iya, deh…"
ROD1-9,"Sc: Rob, msc: SupernovaAlt, sfx: ROB1, Next: [ROD1-10]",Thanks! Thats why I always tell people we need more Dmis at Cosmic Fuel!,Tengkyu! Inilah kenapa aku butuh lebih banyak Dmi kerja di Bensin Kosmik!
ROD1-10,"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [D1D-3]",-door opens and chimes-,(Pintu terbuka dan berdenting)
D1D-3,"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-4]","Ugh, Rob’s always piling stuff on me like this.","Ugh, lagi-lagi Rob nambahin kerjaan."
D1D-4,"No Sc, msc: SupernovaAlt, no sfx, Next: [CalderEnter]",I stare at my phone. I shouldn’t leave Cassie hanging…,Aku kembali menatap layar HP. Sebaiknya aku tidak mengabaikan Cassie terlalu lama…
CalderEnter,"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Open, Next: [D1D-5]",-door opens and chimes-,(Pintu terbuka dan berdenting)
D1D-5,"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-6]",Cassiopeia’s got to wait.,"Sayangnya, Cassiopeia harus menunggu lebih lama lagi."
D1D-6,"No Sc, msc: SupernovaAlt, no sfx, Next: [DD1-6]",The customer before me nods her head to the beat coming from her headphones. He sizes up the shelves. Almost looks like he has the intention of cleaning out our stock.,Pengunjung dihadapanku mengangguk-anggukkan kepala mengikuti irama musik dari headphone-nya. Ia mengamati rak seolah ingin memborong apa yang ada.
DD1-6,"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CAD-1]","Uh, do you need anything?","Uh, apa Anda butuh sesuatu?"
CAD-1,"Sc: Calder, msc: SupernovaAlt, sfx: Calder_Short, Next: [D1D-7]",What!?,Apa!?
D1D-7,"No Sc, msc: SupernovaAlt, no sfx, Next: [DD1-7]",What type of music is that? R&B? Retro R&B?,Musik apaan tuh? R&B? Atau versi retronya?
DD1-7,"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CAD-2]",DO YOU NEED ANYTHING?,APA ANDA BUTUH SESUATU?
CAD-2,"Sc: Calder, msc: SupernovaAlt, sfx: CALDER2, Next: [DD1-8]",DO I WHAT? I’M NOT GOOD AT READING LIPS!,"HAH, APA? AKU ENGGAK BISA BACA BIBIR!"
DD1-8,"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CAD-3]",TURN IT DOWN!,KECILIN VOLUMENYA!
CAD-3,"Sc: Calder, msc: SupernovaAlt, sfx: Calder_Short, Next: [D1D-8]",Oh!,Oh!
D1D-8,"No Sc, msc: SupernovaAlt, no sfx, Next: [CAD-4]",She adjusts the volume of her headphones.,Pengunjung itu mengubah volume headphone-nya.
CAD-4,"Sc: Calder, msc: SupernovaAlt, sfx: CALDER1, Next: [CAD-5]","Sorry, I sometimes forget to just turn off the music.","Maaf, kadang aku lupa matiin lagunya."
CAD-5,"Sc: Calder, msc: SupernovaAlt, sfx: CALDER3, Next: [DD1-11a,DD1-9a]",Do you have a Doomsday sale going on?,Apa lagi ada diskon kiamat?
DD1-11a,"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [DD1-11b]","Sure, if you just take it.","Tentu, jika Anda membelinya."
DD1-11b,"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [D1D-10]",It’ll be 100% off then.,Kami akan memberikan diskon 100%.
D1D-10,"No Sc, msc: SupernovaAlt, no sfx, Next: [CAD-7]",Calder’s eyes widen.,Mata Calder terbeliak.
CAD-7,"Sc: Calder, msc: SupernovaAlt, sfx: CALDER1, Next: [D1D-11]",Really? I can just take it?,"Serius? Aku ambil aja, nih?"
D1D-11,"No Sc, msc: SupernovaAlt, no sfx, Next: [DD1-12]",Excitement spreads across his face.,Senyum lebar mekar di wajahnya.
DD1-12,"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [D1D-12]",No.,Tidak.
D1D-12,"No Sc, msc: SupernovaAlt, no sfx, Next: [CAD-8]",Her smile fades.,Senyumnya memudar.
CAD-8,"Sc: Calder, msc: SupernovaAlt, sfx: Calder_Short, Next: [D1D-13]",Aww man.,Yah…
D1D-13,"No Sc, msc: SupernovaAlt, sfx: Calder_Grunt3, Next: [CAD-9]",He huffs.,Ia mendengus.
DD1-9a,"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [DD1-9b]",Doomsday Sale?,"Enggak ada diskon kiamat, nih?"
DD1-9b,"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CAD-6]",We’re supposed to have one?,Emangnya ada yang begituan?
CAD-6,"Sc: Calder, msc: SupernovaAlt, sfx: CALDER2, Next: [D1D-9]","Well, why not? I looked it up on Froogle.",Kenapa enggak? Aku udah searching di Froogle.
D1D-9,"No Sc, msc: SupernovaAlt, no sfx, Next: [DD1-10]",I sigh. She’s one of those customers.,Aku mendesah. Orang ini adalah tipe pengunjung yang seperti itu.
DD1-10,"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CAD-9]","Sorry, there are no Doomsday promotions going on. If you cash in with your Cosmic membership that’ll take a few luncos off.","Maaf, kami tidak mengadakan promosi kiamat untuk saat ini. Tapi jika Anda membayar dengan membership Kosmik, Anda bisa menghemat beberapa lunco."
CAD-9,"Sc: Calder, msc: SupernovaAlt, sfx: CALDER1, Next: [DD1-13]","Alright then, can I put 400 Luncos on pump 2, and what type of fizzy drinks do you have? You’ve gotta have a 2-for-1 deal here.","Baiklah, aku mau 400 lunco buat pompa 2. Ada minuman bersoda apa saja di sini? Kalian punya promosi beli 2 gratis 1, kan?"
DD1-13,"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CalderShopChoice]","Hold on, I think I have something in mind.","Sebentar, mungkin ada sesuatu."
CalderShopChoice,"No Sc, msc: SupernovaAlt, no sfx, Next: [TDN2-1,TDP2-1]",Select an item in the shop,Pilih item di toko.
TDN2-1,"Sc: Calder, msc: SupernovaAlt, sfx: CALDER1, Next: [TDN2-2]","Uh, this isn’t what I was really looking for.","Uh, ini bukan benda yang kucari."
TDN2-2,"Sc: Calder, msc: SupernovaAlt, sfx: CALDER3, Next: [TDN2-3]",I’ve gotta go! I almost forgot there is a sale on 5D glasses on Uranus!,Aku harus pergi! Hampir kelupaan di Uranus ada kacamata 5D lagi diskon!
TDN2-3,"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [D1D-14]",He bolts out of the gas station.,Ia beranjak lari dari pom bensin.
TDP2-1,"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP2-2]",Her eyes light up from the soda in my hand.,Matanya berbinar melihat soda di tanganku.
TDP2-2,"Sc: Calder, msc: SupernovaAlt, sfx: CALDER1, Next: [TDP2-3]",You guys carry Deia Deia Soda!? I have a coupon for those!,Kalian punya Soda Deia Deia!? Aku punya kuponnya!
TDP2-3,"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP2-4]",He pulls out a comically large coupon book and flips through the pages. She passes a coupon with a picture of Deia Deia Soda.,"Ia mengeluarkan buku kupon yang besarnya hampir terbilang konyol dan membolak-balikkan halamannya. Akhirnya, ia menemukan kupon bergambar Soda Deia Deia."
TDP2-4,"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDP2-5a]",Huh. I guess you do. I’ll ring you up.,"Oh, beneran. Akan saya hitung dulu."
TDP2-5a,"No Sc, msc: SupernovaAlt, sfx: CashRegister, Next: [TDP2-5]",-register chimes-,(Mesin kasir berdenting)
TDP2-5,"Sc: Calder, msc: SupernovaAlt, sfx: CALDER3, Next: [TDP2-6a]",Thanks!,Makasih!
TDP2-6a,"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [TDP2-6]",-door chimes and closes-,(Pintu berdenting dan tertutup)
TDP2-6,"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-14a]",The candle-headed alien makes his way out of the gas station. I catch a glimpse of a snazzy-looking ship outside. She’s got good taste.,"Si alien berkepala lilin beranjak dari pom bensin. Sekilas, aku melihat kapal yang keren. Ternyata seleranya bagus juga."
D1D-14a,"No Sc, msc: SupernovaAlt, sfx: FLUBBER1, Next: [D1D-14]",Flubber meows,Flubber mengeong.
