"context","location","source","target"
"I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","SAJ1","Space Alpaca Jerky","Charqui d'Alpaga"
"I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?)","SAJ2","Don’t read the warning label. It’ll taste better.","Mieux vaut ne pas lire l'étiquette d'avertissement pour apprécier son goût."
"I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","DDS1","Deia Deia Soda","Soda Deia Deia"
"I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!","DDS2","Andromeda soda brands always taste WAYYY better compared to Milkyway brands.","Les sodas d'Andromède sont BIEEEN meilleurs que ceux de la Voie lactée !"
"I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","AP1","Arinator Paste (Mint Choco Flavor)","Dentifrice Arinator"
"I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.","AP2","The mint choco lovers never should have evolved with us…","Les adeptes du chocolat à la menthe n'auraient jamais dû évoluer avec nous…"
"Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","MGN1","M’Ghooni Nachos","Nachos M'Ghooni"
"Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!","MGN2","Perfect for the night time munchies no matter which planet you’re on!","Peu importe la planète sur laquelle vous êtes, c'est le casse-croûte parfait pour vos soirées !"
"Weird hot dogs!!!! They’re a weird color!!!","SD1","Saturn Dogs","Hot-Dogs de Saturne"
"Weird hot dogs!!!! They’re a weird color!!!","SD2","One of the most iconic ways to eat a hot dog in the solar system. Soon, iconic nowhere!","Un des hot-dogs les plus tendance du Système solaire. Une tendance qui va disparaître d'ici peu !"
"Silly numbers!","ZC1","Zolkan Coffee","Café Zolkien"
"Silly numbers!","ZC2","Made with 500% Zolkan coffee beans! How'd they figure out the 400%?","Conçu avec des grains de café 500 % zolkien ! Comment ont-ils fait pour dépasser les 400 % ?"
"Main Menu","MM1","Start","Nouvelle partie"
"Main Menu","MM2","Options","Options"
"Main Menu","MM3","Exit","Quitter"
"Options Menu","OPT1","Sound Options","Audio"
"Options Menu","OPT2","Background Music Volume","Volume du fond sonore"
"Options Menu","OPT3","Character Speech Volume","Volume des voix"
"Options Menu","OPT4","Sound Effects Volume","Volume des effets sonores"
"Options Menu","OPT5","Cancel","Annuler"
"Options Menu","OPT6","Save","Sauveg."
"This is the values for the slider bar, for localizing numbers. We need all the numbers between 0 and 100","NUM","0.000000000",""
"Pause Menu","PM1","Game Paused","Pause"
"Pause Menu","PM2","Save","Sauveg."
"Pause Menu","PM3","Load","Charger une partie"
"Pause Menu","PM4","Options","Options"
"Pause Menu","PM5","Quit","Quitter"
"phone and narrative navigation","NAV1","now","À l'instant"
"phone and narrative navigation","NAV2","back","Retour"
"phone and narrative navigation","NAV3","next","suiv."
"Credit Screen","CS1","Credits","Crédits"
"Credit Screen","CS2","writer","Scénariste"
"Credit Screen","CS3","Character Designer/Artist","Illustration personnages"
"Credit Screen","CS4","Background and Item Artist","Illustration arrière-plan/articles"
"Credit Screen","CS5","Composer/Sound Designer","Composition/Conception sonore"
"Credit Screen","CS6","Additional Voice-Over","Voix hors champ additionnelle"
"Credit Screen","CS7","UX/UI Designer","Conception UX/UI"
"Credit Screen","CS8","Programmer","Programmation"
"In the shop","S1","Turn Around","Se retourner"
"In the shop","S2","Alpaca Jerky","Charqui d'Alpaga"
"In the shop","S3","Deia Deia","Deia Deia"
"In the shop","S4","Arinator","Arinator"
"In the shop","S5","Food","Aliments"
"Itch Game Description","IGD1","Supernova is a hybrid between a point-and-click and a visual novel with inspiration from games like Coffee Talk.  ","Supernova, c'est un mariage entre le pointer-cliquer et le roman vidéoludique inspiré des jeux comme Coffee Talk.  "
"Itch Game Description","IGD2","You are playing as Dmi, a gas station employee on Mars’ moon. ","Vous y incarnez Dmi, personnel d'une station essence située sur la lune de Mars. "
"Itch Game Description","IGD3","The solar system is reaching its end, and a supernova will wipe out everything in three days.","La vie du Système solaire touche à son terme. Dans trois jours, une supernova le rayera complètement de la carte."
"Itch Game Description","IGD4","You’re clocking in. ","Vous pointez à votre poste. "
"Itch Game Description","IGD5","Most people have relocated already, but a few people are still around.","Bien que la majorité de la population ait déjà plié bagage, quelques personnes traînent encore dans les parages."
"Itch Game Description","IGD6","Who will you meet in those last three days?","Qui passera donc les portes du magasin au cours de ces trois derniers jours ?"
"Itch Game Description","IGD7","Notes from the creators:","Petit mot de l'équipe de développement :"
"Itch Game Description","IGD8","A significant amount of work went into making this game accessible, thanks to our UX designer Susan.","Une large partie de notre temps de travail a été consacrée à l'accessibilité du jeu, et ce grâce à Susan, responsable de la conception d'expérience utilisateur."
"Itch Game Description","IGD9","Features:","Caractéristiques du jeu :"
"Itch Game Description","IGD10","Roughly 7,000 words of dialogue and narration","Près de 7 000 mots rien que pour les dialogues et la narration."
"Itch Game Description","IGD11","Two Endings!","Deux fins possibles !"
"Itch Game Description","IGD12","You can pet the cat(?)!","Vous pouvez même caresser le chat (?) !"
"Itch Game Description","IGD13","One playthrough should be around 25 minutes","Une partie complète dure environ 25 minutes."
"Itch Game Description","IGD14","A Special thanks to Trey and Brandon for keeping Britney sane while organizing dialogue!","Nous remercions tout particulièrement Trey et Brandon d'avoir aidé Britney à garder la tête froide lors de l'organisation des dialogues !"
"Itch Game Description","IGD15","Contributors:","Équipe de développement :"
"Itch Game Description","IGD16","Attribution:","Crédit additionnel :"
"Not sure if some of the non-latin alphabets need to translate this","IGD17","Twitter","X (anciennement Twitter)"
"Not sure if some of the non-latin alphabets need to translate this","IGD18","Instagram","Instagram"
"Not sure if some of the non-latin alphabets need to translate this","IGD19","Linktree","Linktree"
"Itch Game Description","IGD20","Portfolio","Portfolio"
"Installation details","INSTALL1","Mac users - you may have to use the itch app to play this game","Si vous utilisez un Mac, vous devrez peut-être utiliser l'application itch pour lancer le jeu."
" On the phone missing string","NAV4","How do you want to respond?","Choisissez une réponse :"
"Front of shop shelves","S6","Go Back","Retour"
"Pause menu","PM6","Resume","Retour"
"Options Menu","OPT7","Language","Langue"
